Label_names,Label_indices,Relabel_class,Occurences
no,9,0,"('no', 84865)"
yes,3,1,"('yes', 83697)"
2,17,2,"('2', 12629)"
1,12,3,"('1', 12329)"
white,4,4,"('white', 9152)"
3,32,5,"('3', 6295)"
red,6,6,"('red', 5429)"
blue,13,7,"('blue', 5293)"
black,30,8,"('black', 5249)"
0,82,9,"('0', 5090)"
4,53,10,"('4', 4413)"
green,14,11,"('green', 3861)"
brown,59,12,"('brown', 3659)"
yellow,120,13,"('yellow', 2882)"
5,38,14,"('5', 2378)"
nothing,134,15,"('nothing', 2204)"
gray,16,16,"('gray', 2038)"
left,40,17,"('left', 1795)"
right,43,18,"('right', 1794)"
6,90,19,"('6', 1669)"
frisbee,7,20,"('frisbee', 1665)"
baseball,66,21,"('baseball', 1650)"
tennis,257,22,"('tennis', 1527)"
wood,83,23,"('wood', 1515)"
orange,2,24,"('orange', 1483)"
bathroom,91,25,"('bathroom', 1252)"
pizza,123,26,"('pizza', 1248)"
pink,42,27,"('pink', 1157)"
kitchen,198,28,"('kitchen', 1143)"
man,231,29,"('man', 1071)"
7,122,30,"('7', 1019)"
8,255,31,"('8', 974)"
cat,211,32,"('cat', 970)"
water,438,33,"('water', 956)"
dog,22,34,"('dog', 955)"
grass,45,35,"('grass', 935)"
skateboarding,431,36,"('skateboarding', 913)"
skiing,5,37,"('skiing', 893)"
silver,60,38,"('silver', 844)"
black and white,10,39,"('black and white', 836)"
10,103,40,"('10', 820)"
kite,649,41,"('kite', 807)"
surfing,360,42,"('surfing', 767)"
horse,264,43,"('horse', 735)"
skateboard,11,44,"('skateboard', 710)"
living room,41,45,"('living room', 704)"
wii,33,46,"('wii', 684)"
stop,202,47,"('stop', 671)"
snow,236,48,"('snow', 665)"
phone,244,49,"('phone', 656)"
eating,36,50,"('eating', 653)"
giraffe,168,51,"('giraffe', 652)"
woman,298,52,"('woman', 651)"
table,81,53,"('table', 650)"
food,334,54,"('food', 644)"
cake,49,55,"('cake', 639)"
surfboard,21,56,"('surfboard', 632)"
apple,416,57,"('apple', 632)"
broccoli,173,58,"('broccoli', 617)"
standing,218,59,"('standing', 616)"
sunny,375,60,"('sunny', 615)"
hat,100,61,"('hat', 595)"
purple,163,62,"('purple', 560)"
laptop,27,63,"('laptop', 556)"
elephant,74,64,"('elephant', 552)"
train,521,65,"('train', 550)"
unknown,545,66,"('unknown', 540)"
12,396,67,"('12', 538)"
beach,263,68,"('beach', 535)"
9,471,69,"('9', 533)"
sheep,102,70,"('sheep', 524)"
snowboarding,234,71,"('snowboarding', 522)"
motorcycle,15,72,"('motorcycle', 513)"
banana,50,73,"('banana', 504)"
bus,136,74,"('bus', 498)"
trees,152,75,"('trees', 498)"
soccer,169,76,"('soccer', 493)"
flowers,118,77,"('flowers', 478)"
cow,252,78,"('cow', 473)"
sitting,318,79,"('sitting', 472)"
wine,239,80,"('wine', 471)"
walking,157,81,"('walking', 463)"
tan,77,82,"('tan', 461)"
bear,31,83,"('bear', 457)"
male,219,84,"('male', 457)"
umbrella,296,85,"('umbrella', 455)"
camera,339,86,"('camera', 455)"
outside,655,87,"('outside', 451)"
winter,280,88,"('winter', 445)"
