Label_names,Label_indices,Occurences
no,9,"('no', 84865)"
yes,3,"('yes', 83697)"
2,17,"('2', 12629)"
1,12,"('1', 12329)"
white,4,"('white', 9152)"
3,32,"('3', 6295)"
red,6,"('red', 5429)"
blue,13,"('blue', 5293)"
black,30,"('black', 5249)"
0,82,"('0', 5090)"
4,53,"('4', 4413)"
green,14,"('green', 3861)"
brown,59,"('brown', 3659)"
yellow,120,"('yellow', 2882)"
5,38,"('5', 2378)"
nothing,134,"('nothing', 2204)"
gray,16,"('gray', 2038)"
left,40,"('left', 1795)"
right,43,"('right', 1794)"
6,90,"('6', 1669)"
frisbee,7,"('frisbee', 1665)"
baseball,66,"('baseball', 1650)"
tennis,257,"('tennis', 1527)"
wood,83,"('wood', 1515)"
orange,2,"('orange', 1483)"
bathroom,91,"('bathroom', 1252)"
pizza,123,"('pizza', 1248)"
pink,42,"('pink', 1157)"
kitchen,198,"('kitchen', 1143)"
man,231,"('man', 1071)"
7,122,"('7', 1019)"
8,255,"('8', 974)"
cat,211,"('cat', 970)"
water,438,"('water', 956)"
dog,22,"('dog', 955)"
grass,45,"('grass', 935)"
skateboarding,431,"('skateboarding', 913)"
skiing,5,"('skiing', 893)"
silver,60,"('silver', 844)"
black and white,10,"('black and white', 836)"
10,103,"('10', 820)"
kite,649,"('kite', 807)"
surfing,360,"('surfing', 767)"
horse,264,"('horse', 735)"
skateboard,11,"('skateboard', 710)"
living room,41,"('living room', 704)"
wii,33,"('wii', 684)"
stop,202,"('stop', 671)"
snow,236,"('snow', 665)"
phone,244,"('phone', 656)"
eating,36,"('eating', 653)"
giraffe,168,"('giraffe', 652)"
woman,298,"('woman', 651)"
table,81,"('table', 650)"
food,334,"('food', 644)"
cake,49,"('cake', 639)"
surfboard,21,"('surfboard', 632)"
apple,416,"('apple', 632)"
broccoli,173,"('broccoli', 617)"
standing,218,"('standing', 616)"
sunny,375,"('sunny', 615)"
hat,100,"('hat', 595)"
purple,163,"('purple', 560)"
laptop,27,"('laptop', 556)"
elephant,74,"('elephant', 552)"
train,521,"('train', 550)"
unknown,545,"('unknown', 540)"
12,396,"('12', 538)"
beach,263,"('beach', 535)"
9,471,"('9', 533)"
sheep,102,"('sheep', 524)"
snowboarding,234,"('snowboarding', 522)"
motorcycle,15,"('motorcycle', 513)"
banana,50,"('banana', 504)"
bus,136,"('bus', 498)"
trees,152,"('trees', 498)"
soccer,169,"('soccer', 493)"
flowers,118,"('flowers', 478)"
cow,252,"('cow', 473)"
sitting,318,"('sitting', 472)"
wine,239,"('wine', 471)"
walking,157,"('walking', 463)"
tan,77,"('tan', 461)"
bear,31,"('bear', 457)"
male,219,"('male', 457)"
umbrella,296,"('umbrella', 455)"
camera,339,"('camera', 455)"
outside,655,"('outside', 451)"
winter,280,"('winter', 445)"
metal,232,"('metal', 442)"
20,686,"('20', 433)"
female,205,"('female', 432)"
car,124,"('car', 415)"
tile,185,"('tile', 414)"
brick,240,"('brick', 406)"
clear,248,"('clear', 394)"
night,677,"('night', 388)"
plane,372,"('plane', 382)"
wall,78,"('wall', 378)"
bird,228,"('bird', 375)"
many,204,"('many', 373)"
bananas,295,"('bananas', 371)"
sandwich,350,"('sandwich', 370)"
zebra,395,"('zebra', 369)"
bed,212,"('bed', 366)"
cloudy,833,"('cloudy', 361)"
bench,288,"('bench', 357)"
donut,783,"('donut', 357)"
down,267,"('down', 353)"
people,192,"('people', 351)"
summer,570,"('summer', 349)"
hot dog,106,"('hot dog', 345)"
bedroom,250,"('bedroom', 338)"
street,268,"('street', 335)"
kites,216,"('kites', 329)"
tree,35,"('tree', 325)"
fence,233,"('fence', 325)"
boat,139,"('boat', 323)"
birthday,144,"('birthday', 319)"
15,418,"('15', 316)"
cheese,140,"('cheese', 315)"
plate,107,"('plate', 311)"
bat,371,"('bat', 311)"
up,470,"('up', 310)"
beer,68,"('beer', 306)"
afternoon,138,"('afternoon', 306)"
fork,251,"('fork', 306)"
tv,425,"('tv', 306)"
sand,213,"('sand', 304)"
