Epoch 0:30 loss: 122.7424545288086 	Accuracy : 84.90625
Epoch 1:30 loss: 122.54821187257767 	Accuracy : 92.09375
Epoch 2:30 loss: 122.48293268680573 	Accuracy : 92.109375
Epoch 3:30 loss: 123.04445272684097 	Accuracy : 92.171875
Epoch 4:30 loss: 122.4312133193016 	Accuracy : 92.859375
Epoch 5:30 loss: 122.4259381890297 	Accuracy : 92.5
Epoch 6:30 loss: 122.44902402162552 	Accuracy : 92.421875
Epoch 7:30 loss: 122.52045553922653 	Accuracy : 92.125
Epoch 8:30 loss: 122.41888159513474 	Accuracy : 92.59375
Epoch 9:30 loss: 122.33609193563461 	Accuracy : 92.8125
Epoch 10:30 loss: 122.47216123342514 	Accuracy : 93.421875
Epoch 11:30 loss: 122.4092692732811 	Accuracy : 92.921875
Epoch 12:30 loss: 122.4538893699646 	Accuracy : 92.859375
Epoch 13:30 loss: 122.44453018903732 	Accuracy : 93.28125
Epoch 14:30 loss: 122.36734282970428 	Accuracy : 92.859375
Epoch 15:30 loss: 122.35383301973343 	Accuracy : 92.5625
Epoch 16:30 loss: 122.52221471071243 	Accuracy : 91.84375
Epoch 17:30 loss: 122.3363042473793 	Accuracy : 92.953125
Epoch 18:30 loss: 122.34657746553421 	Accuracy : 93.34375
Epoch 19:30 loss: 122.46403002738953 	Accuracy : 92.75
Epoch 20:30 loss: 122.35471487045288 	Accuracy : 92.953125
Epoch 21:30 loss: 122.38264572620392 	Accuracy : 92.921875
Epoch 22:30 loss: 123.0984456539154 	Accuracy : 92.296875
Epoch 23:30 loss: 122.3839818239212 	Accuracy : 92.796875
Epoch 24:30 loss: 122.42159420251846 	Accuracy : 92.515625
Epoch 25:30 loss: 122.37718218564987 	Accuracy : 92.734375
Epoch 26:30 loss: 122.39148777723312 	Accuracy : 92.140625
Epoch 27:30 loss: 122.30409687757492 	Accuracy : 93.25
Epoch 28:30 loss: 122.43123537302017 	Accuracy : 92.0625
Epoch 29:30 loss: 122.32450765371323 	Accuracy : 92.4375
